,params,distance,image_result
11,"{'max_round_trips': 100, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 2}",7588,./output/Posibility: 11 | Effort: 7588.png
51,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 128, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 2}",7672,./output/Posibility: 51 | Effort: 7672.png
113,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 512, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 2}",7679,./output/Posibility: 113 | Effort: 7679.png
105,"{'max_round_trips': 10000, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 2}",7712,./output/Posibility: 105 | Effort: 7712.png
33,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 2}",7715,./output/Posibility: 33 | Effort: 7715.png
137,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 2}",7867,./output/Posibility: 137 | Effort: 7867.png
41,"{'max_round_trips': 100, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 2}",7873,./output/Posibility: 41 | Effort: 7873.png
131,"{'max_round_trips': 10000, 'max_ants': 4096, 'ant_count': 256, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 2}",7891,./output/Posibility: 131 | Effort: 7891.png
91,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 0, 'reward_power': 1, 'pheromone_power': 2}",7902,./output/Posibility: 91 | Effort: 7902.png
57,"{'max_round_trips': 1000, 'max_ants': 1024, 'ant_count': 256, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 2}",7903,./output/Posibility: 57 | Effort: 7903.png
89,"{'max_round_trips': 1000, 'max_ants': 4096, 'ant_count': 512, 'distance_power': 0, 'reward_power': 0, 'pheromone_power': 2}",7955,./output/Posibility: 89 | Effort: 7955.png
